age,gender,employment_status,state_of_residence,total_monthly_inflow,total_monthly_outflow,transaction_frequency,salary_payment_detected,end_of_month_balance,highest_credit_amount,highest_debit_amount,gambling_transactions_count,loan_related_transactions_count,previous_loan_taken,previous_loan_amount,repayment_status,missed_payment_count,airtime_spend_per_month,data_subscription_spend,loan_defaulted
28,Male,Employed,Plateau,424507,359302,32,Yes,97144,160467,94280,0,2,No,0,N/A,0,7158,7302,0
24,Female,Employed,Enugu,280487,161577,28,Yes,233366,144723,51137,0,0,No,0,N/A,0,1974,5942,0
34,Male,Self-employed,Rivers,543816,299054,31,No,357324,324227,65367,0,0,Yes,2195779,On-time,0,2799,7842,0
21,Female,Employed,Cross River,196767,122742,32,Yes,100214,148492,37253,0,0,Yes,848579,Late,0,4417,500,0
28,Male,Employed,Kaduna,460769,240578,37,Yes,275467,148650,79422,0,1,No,0,N/A,0,1042,2840,0
40,Male,Self-employed,Cross River,341851,182969,8,No,323277,115297,108821,0,0,No,0,N/A,0,2646,6835,0
38,Male,Employed,Imo,224117,160417,30,Yes,195893,104315,36161,0,1,No,0,N/A,0,1787,1411,0
28,Female,Employed,Delta,339198,245551,50,Yes,130743,230787,104239,0,0,Yes,1646750,Late,2,10744,2238,1
30,Female,Self-employed,Plateau,50000,31357,50,No,202004,21232,11418,0,0,No,0,N/A,0,2421,7231,0
29,Male,Employed,Oyo,425217,371763,52,No,94619,167231,207080,0,1,No,0,N/A,0,6743,5526,0
29,Male,Employed,Kaduna,311505,244662,29,Yes,108653,227512,49612,0,4,Yes,1107006,Late,2,1169,3738,0
32,Female,Employed,Akwa Ibom,325807,205159,41,Yes,267191,156978,120779,0,0,No,0,N/A,0,500,4920,0
25,Male,Employed,Cross River,321145,172205,39,Yes,257041,254611,51114,0,0,Yes,1400409,On-time,0,2449,7319,0
19,Male,Self-employed,Borno,532936,337851,55,No,231337,382462,110920,0,0,Yes,1029948,On-time,1,4199,3489,0
40,Male,Self-employed,Bauchi,88785,90803,42,Yes,0,68219,23155,3,5,Yes,240192,Late,3,3286,6668,1
42,Female,Self-employed,Kaduna,525499,393267,73,No,141421,393392,220295,1,1,No,0,N/A,0,1119,8572,0
40,Male,Employed,Enugu,442646,230634,53,Yes,261105,331664,102072,0,0,No,0,N/A,0,4349,1349,1
25,Female,Employed,Enugu,460175,257381,20,Yes,281365,309810,118357,0,0,No,0,N/A,0,4848,7821,0
29,Male,Employed,Kano,144519,108215,23,Yes,85089,71760,60256,0,1,Yes,600576,Late,1,4026,9360,1
35,Female,Self-employed,Katsina,392620,223869,22,No,193127,244498,60633,0,0,No,0,N/A,0,3553,7142,0
24,Male,Self-employed,Rivers,127577,135586,12,No,0,49084,57314,3,0,No,0,N/A,0,4346,6155,0
34,Female,Employed,Katsina,358731,314059,17,Yes,83006,232639,151060,0,1,Yes,1003534,On-time,3,5810,3188,1
25,Male,Self-employed,Imo,284307,227531,48,No,97699,177686,109393,1,1,Yes,1415554,On-time,0,3369,7276,1
44,Male,Self-employed,Kwara,192634,152781,36,No,69272,85388,66663,0,4,Yes,222010,On-time,1,2213,3995,1
26,Male,Employed,Imo,432436,376797,15,Yes,18129,244619,156843,3,2,Yes,1810674,Late,5,500,5559,1
34,Male,Employed,Rivers,231121,117025,33,Yes,307372,165942,55983,0,1,Yes,703709,On-time,1,3331,4046,0
42,Female,Employed,Cross River,491807,280321,53,Yes,403361,328993,118223,0,0,Yes,1996049,On-time,0,961,3547,0
